Country,Year,Doctors_Per_10000
Austria,2017,52
Austria,2016,51
Austria,2015,51
Austria,2014,50
Austria,2013,50
Austria,2012,49
Austria,2011,48
Austria,2010,48
Austria,2009,47
Austria,2008,46
Austria,2007,46
Austria,2006,45
Austria,2005,43
Austria,2004,42
Austria,2003,41
Austria,2002,40
Austria,2001,40
Austria,2000,38
Austria,1999,38
Austria,1998,38
Austria,1997,36
Austria,1996,36
Austria,1995,35
Austria,1994,34
Austria,1993,33
Austria,1992,32
Austria,1991,31
Austria,1990,30
Cuba,2018,84
Cuba,2017,83
Cuba,2016,80
Cuba,2015,78
Cuba,2014,76
Cuba,2013,74
Cuba,2012,73
Cuba,2011,70
Cuba,2010,68
Cuba,2009,67
Cuba,2008,66
Cuba,2007,64
Cuba,2006,63
Cuba,2005,63
Cuba,2004,62
Cuba,2003,61
Cuba,2002,60
Cuba,2001,59
Cuba,2000,59
Cuba,1999,59
Cuba,1998,58
Cuba,1997,57
Cuba,1996,55
Cuba,1995,52
Cuba,1994,50
Cuba,1993,47
Cuba,1992,44
Cuba,1991,40
Cuba,1990,37
Georgia,2018,71
Georgia,2017,61
Georgia,2016,60
Georgia,2015,50
Georgia,2014,48
Georgia,2013,45
Georgia,2012,45
Georgia,2011,45
Georgia,2010,44
Georgia,2009,42
Georgia,2008,40
Georgia,2007,39
Georgia,2006,39
Georgia,2005,38
Georgia,2004,38
Georgia,2003,38
Georgia,2002,38
Georgia,2001,37
Georgia,2000,38
Georgia,1999,39
Georgia,1998,38
Georgia,1997,37
Georgia,1996,31
Greece,2017,55
Greece,2016,54
Greece,2015,53
Greece,2014,52
Greece,2013,42
Greece,2012,41
Greece,2011,40
Greece,2010,39
Greece,2009,39
Greece,2008,38
Greece,2007,37
Greece,2006,35
Greece,2005,34
Greece,2004,48
Greece,2003,47
Greece,2002,45
Greece,2001,43
Greece,2000,43
Greece,1999,42
Greece,1998,41
Greece,1997,39
Greece,1996,38
Greece,1995,38
Greece,1994,38
Greece,1993,38
Greece,1992,37
Greece,1991,36
Greece,1990,34
Israel,2018,46
Israel,2017,35
Israel,2016,35
Israel,2015,35
Israel,2014,35
Israel,2013,35
Israel,2012,35
Israel,2011,35
Israel,2010,35
Israel,2009,35
Israel,2008,36
Israel,2007,36
Israel,2006,37
Israel,2005,38
Israel,2004,38
Israel,2003,39
Israel,2002,39
Israel,2001,38
Israel,2000,38
Israel,1999,44
Israel,1998,44
Israel,1997,44
Israel,1996,44
Israel,1995,43
Israel,1994,43
Israel,1993,43
Israel,1992,44
Israel,1991,39
Israel,1990,37
Italy,2018,40
Italy,2017,40
Italy,2016,40
Italy,2015,38
Italy,2014,39
Italy,2013,39
Italy,2012,39
Italy,2011,39
Italy,2010,38
Italy,2009,38
Italy,2008,38
Italy,2007,38
Italy,2006,37
Italy,2005,37
Italy,2004,37
Italy,2003,36
Italy,2002,36
Italy,2001,35
Italy,2000,35
Italy,1999,60
Italy,1998,59
Italy,1997,58
Italy,1996,57
Italy,1995,57
Italy,1994,56
Italy,1993,55
Italy,1992,50
Italy,1991,48
Italy,1990,47
Monaco,2014,75
Monaco,2013,78
Monaco,2012,64
Monaco,2011,64
Monaco,1992,28
San Marino,2014,61
San Marino,2013,50
San Marino,2012,51
San Marino,2011,49
Switzerland,2017,43
Switzerland,2016,42
Switzerland,2015,42
Switzerland,2014,41
Switzerland,2013,40
Switzerland,2012,39
Switzerland,2011,38
Switzerland,2010,38
Switzerland,2009,38
Switzerland,2008,38
Switzerland,2007,39
Switzerland,2006,39
Switzerland,2005,38
Switzerland,2004,38
Switzerland,2003,38
Switzerland,2002,36
Switzerland,2001,35
Switzerland,2000,35
Switzerland,1996,32
Uruguay,2017,51
Uruguay,2016,40
Uruguay,2008,40
Uruguay,2002,37